CODE_UIC;LIBELLE;FRET;VOYAGEURS;CODE_LIGNE;RG_TRONCON;PK;COMMUNE;DEPARTEMENT;IDRESEAU;IDGAIA;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO
87182667;Lutterbach (Haut-Rhin);N;O;130000;1;000+000;LUTTERBACH;HAUT-RHIN;5281;d943a6c0-6667-11e3-89ff-01f464e0362d;1020274.8025000021;6748421.3277;7.276982614409168;47.758101692721695;47.7581016927,7.27698261441
87144014;St-Dié-des-Vosges;O;O;110000;1;086+500;SAINT-DIE;VOSGES;6429;e18b13fa-19bf-11e5-a6ff-01fc64e0362d;992939.5672999993;6805228.7897000015;6.950498210083727;48.28142701610043;48.2814270161,6.95049821008
87171330;Fismes;O;O;205000;1;028+134;FISMES;MARNE;4154;d9aa7d9a-6667-11e3-89ff-01f464e0362d;749641.1604000032;6912584.262600001;3.6825129600053943;49.31092384327646;49.3109238433,3.68251296001
87485508;La Mothe-St-Héray;N;O;538000;1;042+353;SAINTE-EANNE;DEUX-SEVRES;8144;dff93ed0-19bf-11e5-82ff-01fc64e0362d;459517.27059999853;6591543.901900001;-0.129774274561548;46.38093567426709;46.3809356743,-0.129774274562
87594168;Égletons;N;O;716000;1;632+333;ÉGLETONS;CORREZE;4027;dff8573e-19bf-11e5-82ff-01fc64e0362d;626831.2666999996;6478553.465100002;2.06471446783481;45.40249715122048;45.4024971512,2.06471446783
87773200;Sète;O;O;640000;1;475+890;;;9480;d94ed95c-6667-11e3-89ff-01f464e0362d;;;;;
87345314;Somain;O;O;262000;1;229+278;SOMAIN;NORD;6870;29abb42a-dfbc-11e3-a2ff-01a464e0362d;719879.9089000002;7028678.891899999;3.278972591936239;50.35550661170308;50.3555066117,3.27897259194
87485342;Beauvoir-sur-Niort;N;O;500000;1;434+174;BEAUVOIR-SUR-NIORT;DEUX-SEVRES;3145;d9d2980e-6667-11e3-89ff-01f464e0362d;432496.91650000215;6569983.6576000005;-0.46868287793397306;46.17679654873225;46.1767965487,-0.468682877934
87141788;Pompey;O;O;096000;1;000+000;;;6051;e1846100-19bf-11e5-a6ff-01fc64e0362d;;;;;
87671008;Tarbes;O;O;650000;1;156+293;TARBES;HAUTES-PYRENEES;6932;e17516d6-19bf-11e5-a6ff-01fc64e0362d;461877.43180000037;6242320.2771999985;0.069506138762399;43.240305937362955;43.2403059374,0.0695061387624
87471052;St-Jacques-de-la-Lande;O;O;468000;1;378+709;SAINT-JACQUES-DE-LA-LANDE;ILLE-ET-VILAINE;6500;e1ae5d5e-19bf-11e5-a6ff-01fc64e0362d;349107.59640000015;6784609.227699999;-1.7137448674474411;48.06757271989054;48.0675727199,-1.71374486745
87741645;Albertville;O;O;899000;1;023+625;ALBERTVILLE;SAVOIE;2837;d9e5c838-6667-11e3-89ff-01f464e0362d;962500.8276000023;6513341.218699999;6.372548716712411;45.66916626382764;45.6691662638,6.37254871671
87382481;St-Nom-la-Bretêche-Forêt-de-Marly;N;O;990000;1;013+364;L'ÉTANG-LA-VILLE;YVELINES;6611;e16ad4de-19bf-11e5-a6ff-01fc64e0362d;630363.8593000025;6863374.660700001;2.050733554631807;48.866634515145755;48.8666345151,2.05073355463
87286393;Lille-Champ-de-Mars;O;N;272000;1;248+065;RONCHIN;NORD;80929;e5469ff0-6667-11e3-a7ff-01f464e0362d;706453.190700002;7057608.658300001;3.091025245805604;50.61546754976583;50.6154675498,3.09102524581
87481002;Nantes;O;O;519000;1;428+284;NANTES;LOIRE-ATLANTIQUE;5736;c01d1406-f312-11e3-90ff-015864e0362d;358259.4680000022;6690441.043499999;-1.518765979566461;47.226238868091336;47.2262388681,-1.51876597957
87775130;Gallargues;N;O;810000;1;048+098;GALLARGUES-LE-MONTUEUX;GARD;4256;d98ad7a0-6667-11e3-89ff-01f464e0362d;794407.2248999998;6291480.2283000015;4.171264343948088;43.71604915271701;43.7160491527,4.17126434395
87741744;Pomblière-St-Marcel;O;N;899000;1;057+228;SAINT-MARCEL;SAVOIE;6046;d99cc29c-6667-11e3-89ff-01f464e0362d;978113.8558000028;6495763.0724;6.562693270316035;45.50485971207539;45.5048597121,6.56269327032
87345504;Aniche;O;N;258000;1;219+275;ANICHE;NORD;2893;2987bd66-dfbc-11e3-a2ff-01a464e0362d;718028.0319000036;7025691.125700001;3.252851334014792;50.32873857188257;50.3287385719,3.25285133401
87611137;St-Gaudens;O;O;650000;1;090+327;SAINT-GAUDENS;HAUTE-GARONNE;6464;d9bfe366-6667-11e3-89ff-01f464e0362d;514997.17650000006;6225492.9070000015;0.7287744982135911;43.10476371448969;43.1047637145,0.728774498214
87696310;Villeneuve-sur-Allier;N;O;750000;1;299+550;VILLENEUVE-SUR-ALLIER;ALLIER;7258;d9bae64c-6667-11e3-89ff-01f464e0362d;718876.7589000016;6617700.8378;3.246865273621823;46.65911911232658;46.6591191123,3.24686527362
87393520;St-Germain-St-Rémy;N;O;395000;1;090+990;SAINT-GERMAIN-SUR-AVRE;EURE-ET-LOIR;6482;e126da1a-19bf-11e5-a6ff-01fc64e0362d;571828.1895999983;6852393.879099999;1.256292124313499;48.758914576709124;48.7589145767,1.25629212431
87295600;Aulnoye-Aymeries;O;O;267000;2;081+200;AULNOYE-AYMERIES;NORD;8024;c12b4460-f312-11e3-90ff-015864e0362d;760445.6372999996;7011463.511599999;3.845611020705551;50.19834231958264;50.1983423196,3.84561102071
87641050;Louroux-de-Bouble;N;O;707000;1;367+027;LOUROUX-DE-BOUBLE;ALLIER;5247;e122b6b6-19bf-11e5-a6ff-01fc64e0362d;698835.058600001;6569358.342;2.984886163041501;46.224080830869276;46.2240808309,2.98488616304
87597823;Aubusson;N;O;712000;1;412+857;AUBUSSON;CREUSE;2981;d9dd55a2-6667-11e3-89ff-01f464e0362d;635003.9139000028;6540436.809300002;2.160766800262102;45.96053639366277;45.9605363937,2.16076680026
