CODE_LIGNE;LIB_LIGNE;STATUT;RG_TRONCON;PKD;PKF;IDGAIA;X_D_L93;Y_D_L93;X_F_L93;Y_F_L93;X_D_WGS84;Y_D_WGS84;X_F_WGS84;Y_F_WGS84;C_GEO_D;C_GEO_F
935901;Ligne de Lavalduc à Fos-Coussoul (dépôts pétroliers);Exploitée;1;000+000;008+887;79e33a06-e28c-11e8-92ff-01b064e0362d;858456.7609999999;6266927.322000001;855233.4560000002;6263508.314399999;4.958082546077469;43.483752875946365;4.917241700973218;43.45371354691791;43.4837528759,4.95808254608;43.4537135469,4.91724170097
466000;Ligne de Châteaubriant à Rennes;Exploitée;1;000+000;058+576;79dbd7f6-e28c-11e8-92ff-01b064e0362d;372409.5106000006;6744250.228500001;354138.01380000263;6788612.9833;-1.371399146393917;47.717011948752074;-1.6494887287145121;48.106219879027925;47.7170119488,-1.37139914639;48.106219879,-1.64948872871
538000;Ligne de St-Benoît à La Rochelle-Ville;Exploitée;1;000-135;139+191;79de9fe4-e28c-11e8-92ff-01b064e0362d;495892.058799997;6608713.703200001;380017.95149999857;6568435.5331999995;0.335700215806687;46.547452955498734;-1.14696993636948;46.140091945234694;46.5474529555,0.335700215807;46.1400919452,-1.14696993637
830356;Raccordement sud de Tarascon;Exploitée;1;000+000;001+454;79e108b6-e28c-11e8-92ff-01b064e0362d;833593.7631999999;6300318.724399999;833406.1327000037;6301579.1076;4.659614950335785;43.78924982177515;4.65761337189862;43.80062471532483;43.7892498218,4.65961495034;43.8006247153,4.6576133719
753000;Ligne de Laroche-Migennes à Cosne;Exploitée;1;154+370;244+800;79e45638-e28c-11e8-92ff-01b064e0362d;737784.877700001;6762358.0678;725354.374499999;6710780.241700001;3.506264671720428;47.960522671348414;3.336768456440783;47.4968990195983;47.9605226713,3.50626467172;47.4968990196,3.33676845644
669000;Ligne de Villefranche-Vernet-les-Bains à Latour-de-Carol;Exploitée;1;000-218;062+561;79e191d4-e28c-11e8-92ff-01b064e0362d;648267.7132999972;6166165.9373;609870.7683999985;6151543.1455999985;2.370543740493526;42.59335481930641;1.905858604509926;42.45814353883745;42.5933548193,2.37054374049;42.4581435388,1.90585860451
328000;Ligne d'Ermont-Eaubonne à Valmondois;Exploitée;1;013+688;029+281;79da84b2-e28c-11e8-92ff-01b064e0362d;647137.5213999972;6875866.075599998;641635.6498000026;6888011.645199999;2.2778168146782782;48.980555801791155;2.200978660197806;49.08928376324113;48.9805558018,2.27781681468;49.0892837632,2.2009786602
898000;Ligne d'Annecy à Albertville;Exploitée;1;035+771;045+062;79e4f366-e28c-11e8-92ff-01b064e0362d;965280.171099998;6522219.726799998;963535.7282999977;6513966.377099998;6.413140449661486;45.747967114574294;6.386172838428465;45.67439184728489;45.7479671146,6.41314044966;45.6743918473,6.38617283843
553000;Ligne d'Ouest-Ceinture à Chartres;Exploitée;1;001+102;006+018;79dd1ca2-e28c-11e8-92ff-01b064e0362d;649583.7752000019;6859664.977899998;648308.3156000003;6855501.521499999;2.313159858560365;48.8350648315487;2.2962901543151473;48.797521098958164;48.8350648315,2.31315985856;48.797521099,2.29629015432
312300;Raccordement de Outreau-Poste 1 à l'hoverport;Exploitée;1;248+804;255+150;79da2ef4-e28c-11e8-92ff-01b064e0362d;602541.2902999967;7066146.511700001;599844.4289999977;7070323.109499998;1.6233387767934562;50.684495824462054;1.58419437604127;50.721540124621065;50.6844958245,1.62333877679;50.7215401246,1.58419437604
797311;Raccordement sud de Peyraud;Exploitée;1;000+000;000+564;79e07902-e28c-11e8-92ff-01b064e0362d;840560.061999999;6467687.1598000005;840554.2444999963;6467125.630800001;4.793341249657747;45.29418080289292;4.79310439138132;45.28912708355457;45.2941808029,4.79334124966;45.2891270836,4.79310439138
095000;Ligne de Longuyon à Onville et Pagny-sur-Moselle;Exploitée;1;000+845;073+680;79d89c02-e28c-11e8-92ff-01b064e0362d;889543.7088999972;6929933.247200001;921448.7159999982;6880112.596999999;5.613030828108408;49.440602988301144;6.026158261428387;48.9827529496585;49.4406029883,5.61303082811;48.9827529497,6.02615826143
737000;Ligne de Castres à Bédarieux;Exploitée;1;366+180;385+470;79df455e-e28c-11e8-92ff-01b064e0362d;637726.5810000002;6277961.6646;649593.5680999979;6266578.8182;2.229009704597238;43.59797404947253;2.377036632385111;43.49650545738209;43.5979740495,2.2290097046;43.4965054574,2.37703663239
