service_id,date,exception_type
1723,20200701,2
1723,20200702,2
1723,20200703,2
7628,20200715,1
7628,20200716,1
7628,20200717,1
7628,20200817,1
7628,20200818,1
7628,20200819,1
7628,20200820,1
7628,20200821,1
12446,20200702,1
12446,20200625,1
12446,20200622,2
12446,20200623,2
12446,20200615,2
12446,20200616,2
12446,20200617,2
12446,20200619,2
7633,20200824,1
7633,20200825,1
7633,20200826,1
7633,20200827,1
7633,20200828,1
7633,20200831,1
7633,20200901,1
7633,20200902,1
7633,20200903,1
7633,20200904,1
12447,20200714,1
12447,20200619,2
3433,20200616,1
3433,20200617,1
3433,20200618,1
3433,20200619,1
3433,20200623,1
3433,20200624,1
3433,20200625,1
3433,20200626,1
3433,20200630,1
3433,20200701,1
3433,20200702,1
3433,20200703,1
3433,20200609,1
3433,20200610,1
3433,20200611,1
3433,20200612,1
3433,20200901,1
3433,20200902,1
3433,20200903,1
3433,20200904,1
1226,20200608,1
1226,20200609,1
1226,20200610,1
1226,20200611,1
1226,20200612,1
1226,20200615,1
1226,20200616,1
1226,20200617,1
1226,20200618,1
1226,20200619,1
1226,20200622,1
1226,20200623,1
1226,20200624,1
1226,20200625,1
1226,20200626,1
1226,20200629,1
1226,20200630,1
1226,20200701,1
1226,20200702,1
1226,20200703,1
1226,20200831,1
1226,20200901,1
1226,20200902,1
1226,20200903,1
1226,20200904,1
12449,20200713,2
12449,20200714,2
12450,20200713,1
12450,20200714,1
8299,20200614,1
7079,20200905,1
12451,20200905,1
12452,20200904,1
2029,20200609,1
12454,20200831,1
12454,20200901,1
12454,20200902,1
12454,20200903,1
12454,20200905,1
12454,20200710,1
12454,20200608,1
12454,20200610,1
12454,20200611,1
12454,20200612,1
12454,20200613,1
12454,20200614,1
12454,20200615,1
12454,20200616,1
12454,20200617,1
12454,20200618,1
12454,20200619,1
12454,20200620,1
12454,20200621,1
12454,20200622,1
12454,20200623,1
12454,20200624,1
12454,20200625,1
12454,20200626,1
12454,20200627,1
12454,20200628,1
12454,20200629,1
12454,20200630,1
12454,20200701,1
12454,20200702,1
12454,20200703,1
12454,20200609,2
12454,20200704,2
12454,20200705,2
18,20200626,1
1927,20200619,1
1927,20200626,1
1927,20200703,1
1927,20200612,1
1927,20200904,1
12456,20200822,2
12458,20200714,2
12458,20200715,2
12458,20200813,2
12458,20200729,2
12458,20200730,2
12458,20200710,2
12458,20200825,2
12459,20200707,1
12459,20200708,1
12459,20200710,1
12459,20200729,1
12459,20200730,1
12459,20200813,1
12459,20200715,1
12459,20200825,1
12459,20200828,1
12460,20200612,1
311,20200613,1
12462,20200619,1
12462,20200626,1
12462,20200703,1
12462,20200612,1
12462,20200904,1
1018,20200713,2
1018,20200714,2
12463,20200620,1
12463,20200627,1
12463,20200613,1
12463,20200901,1
12463,20200902,1
12463,20200903,1
12463,20200904,1
12463,20200905,1
12464,20200619,1
12464,20200626,1
12464,20200703,1
12464,20200612,1
12464,20200904,1
12465,20200822,1
12466,20200703,1
12467,20200608,1
12467,20200609,1
12467,20200610,1
12467,20200611,1
12467,20200612,1
12467,20200613,1
12467,20200614,1
12467,20200615,1
12467,20200616,1
12467,20200617,1
12467,20200618,1
12467,20200619,1
12467,20200620,1
12467,20200621,1
12467,20200622,1
12467,20200623,1
12467,20200624,1
12467,20200625,1
12467,20200626,1
12467,20200627,1
12467,20200628,1
12467,20200831,1
12467,20200901,1
12467,20200902,1
12467,20200903,1
12467,20200904,1
12467,20200905,1
12467,20200704,2
12467,20200705,2
12468,20200608,1
12468,20200609,1
12468,20200610,1
12468,20200611,1
12468,20200615,1
12468,20200616,1
12468,20200617,1
12468,20200618,1
12468,20200622,1
12468,20200623,1
12468,20200624,1
12468,20200625,1
12468,20200629,1
12468,20200630,1
12468,20200701,1
12468,20200702,1
12468,20200831,1
12468,20200901,1
12468,20200902,1
12468,20200903,1
747,20200614,1
12470,20200619,1
12470,20200626,1
