stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
StopArea:OCE87721415,Chazay - Marcilly,,45.8732520,4.72525300,,,1,
StopPoint:OCETrain TER-87721415,Chazay - Marcilly,,45.8732520,4.72525300,,,0,StopArea:OCE87721415
StopArea:OCE87721423,Lozanne,,45.8541740,4.68147400,,,1,
StopPoint:OCECar TER-87721423,Lozanne,,45.8541740,4.68147400,,,0,StopArea:OCE87721423
StopPoint:OCETrain TER-87721423,Lozanne,,45.8541740,4.68147400,,,0,StopArea:OCE87721423
StopArea:OCE87721431,L'Arbresle,,45.8332850,4.61826200,,,1,
StopPoint:OCECar TER-87721431,L'Arbresle,,45.8332850,4.61826200,,,0,StopArea:OCE87721431
StopPoint:OCETrain TER-87721431,L'Arbresle,,45.8332850,4.61826200,,,0,StopArea:OCE87721431
StopPoint:OCETramTrain-87721431,L'Arbresle,,45.8332850,4.61826200,,,0,StopArea:OCE87721431
StopArea:OCE87721449,Dardilly - Le Jubin,,45.8157630,4.76109500,,,1,
StopPoint:OCECar TER-87721449,Dardilly - Le Jubin,,45.8157630,4.76109500,,,0,StopArea:OCE87721449
StopPoint:OCETrain TER-87721449,Dardilly - Le Jubin,,45.8157630,4.76109500,,,0,StopArea:OCE87721449
StopArea:OCE87721456,Saint-Romain-de-Popey,,45.8614140,4.54244700,,,1,
StopPoint:OCECar TER-87721456,Saint-Romain-de-Popey,,45.8614140,4.54244700,,,0,StopArea:OCE87721456
StopPoint:OCETrain TER-87721456,Saint-Romain-de-Popey,,45.8614140,4.54244700,,,0,StopArea:OCE87721456
StopArea:OCE87721464,Pontcharra - Saint-Forgeux,,45.8715410,4.49290400,,,1,
StopPoint:OCECar TER-87721464,Pontcharra - Saint-Forgeux,,45.8715410,4.49290400,,,0,StopArea:OCE87721464
StopPoint:OCETrain TER-87721464,Pontcharra - Saint-Forgeux,,45.8715410,4.49290400,,,0,StopArea:OCE87721464
