route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
FR:Line::1C2B1261-0694-48A2-AA83-B635956CC91C:,1187,P16,St-Pierre De Chandieu - Saint-Priest,,3,,,
FR:Line::1C7B4F39-FA4A-47D0-8827-66B964AD2E36:,1187,P19,Alençon - Le Mans - Tours,,2,,,
FR:Line::1C9277F1-D8AC-4D6F-9DAD-E2A807CBC4FA:,1187,C2,Clermont-Ferrand - Moulins - Nevers,,2,,,
FR:Line::1CEA14EA-7F5A-4D44-A739-F6A13138F139:,1187,K13,Toulouse Matabiau - Nimes,,2,,,
FR:Line::1E708F4C-D9FF-4DD1-819E-69257CA9E90F:,1187,P25,25. Limoges-Montluçon/Felletin,,2,,,
FR:Line::1cbe7553-0aab-43ed-8040-7a13c565520a:,1187,P34,Paris GdL Laroche Semi-directs,,2,,,
FR:Line::1f093b3e-6e5a-4365-9cd0-e5764b2c7767:,1187,L51,51. Bordeaux - Dax - Bayonne - Hendaye,,2,,,
FR:Line::1f647a2c-138d-47de-8fb5-333f230e16f7:,1187,K39,Caen - Le Mans - Tours,,2,,,
FR:Line::206e3211-85f3-4e58-946b-33cf370f96fa:,1187,K6,PARIS - VITTEL,,2,,,
FR:Line::212bdd51-b24f-4159-aa96-ee294cd058fd:,1187,C13,Les Arcs - Cannes - Nice - Menton,,2,,,
FR:Line::219C4964-9D9E-43A0-90D5-6A95CC140B41:,1187,K6,Nantes - Cholet,,3,,,
FR:Line::21B4B826-2492-4170-AC04-0B4625ADCA63:,1187,P13,Port Bou Frontiere - Narbonne,,2,,,
FR:Line::21C006C7-F1F5-410B-B9EF-F3FC9980E808:,1187,P14,Avignon Centre - Valence,,2,,,
FR:Line::22383112-54E7-44A9-A60E-C686A3BFD032:,1187,P55,Dreux - Chartres (Car),,3,,,
FR:Line::2295DCB3-5ABB-4028-8431-F6E4F94D0299:,1187,P41,Chambery - Bourg St-Maurice,,2,,,
FR:Line::229ED139-9256-4B71-80BD-E7EAD93A6C9A:,1187,P11,Tours - Poitiers,,2,,,
FR:Line::22F6D4B9-BC1B-4BE6-B5CC-3B211E463B73:,1187,P13,Paris - Chartres - Nogent le Rotrou,,2,,,
FR:Line::2301FD10-412C-429D-B3A5-70F98B09BF00:,1187,P60,Vierzon - Romorantin (Car),,3,,,
FR:Line::2311A20B-BEEF-401A-81B7-0A59D50C8C19:,1187,P817,Haguenau - Niederbronn - Bitche,,3,,,
FR:Line::24689242-F92D-4E76-A8DA-6E75B6A44DC1:,1187,P811,Selestat - St Die Des Vosges,,3,,,
FR:Line::2474299f-32b6-4da6-bef4-69ae2cdcae85:,1187,C24+,STRASBOURG - ST DIE DES VOSGES - EPINAL,,2,,,
FR:Line::256AC5CB-B445-41BA-AC15-455BBB9BF44C:,1187,P53,53. Bayonne-Pau-Tarbes,,2,,,
FR:Line::258E893F-88D3-472A-AD69-33519A7C864D:,1187,P20,Marvejols - La Bastide St Laurent L Bains,,2,,,
FR:Line::25ee36d2-3fd1-49f5-b8d4-98c69d271d14:,1187,D11,11. Tours- Châtellerault - Poitiers,,2,,,
FR:Line::267ed1ec-3796-4c2b-9658-0387edb1d0f5:,1187,P320,Bourges - St Amand Montrond Orval (car),,3,,,
FR:Line::27A3C9CC-526E-4121-8CF9-7C00D4652BCC:,1187,K13,Lyon - Besançon - Belfort (interrégional),,2,,,
FR:Line::284A09C9-9352-4B2A-B4B8-331497D889A9:,1187,C40,Clermont-Ferrand - Volvic,,2,,,
FR:Line::28E1AA1C-4C14-4852-9BDD-2179DB579F35:,OCEdefault,P920,St Dizier - Chaumont,,3,,,
FR:Line::2916761F-A5C7-4C33-9B9D-44ADFACFDECC:,1187,K52,Arras - Dunkerque Ter Et Tgv Autorisés,,2,,,
FR:Line::296E1EA3-237C-44D1-BFEE-3AE29C18948C:,1187,P24,Villefranche Vernet Les Bains - Perpignan,,2,,,
FR:Line::297ec911-6fdb-4544-9c77-12ea9183d1b1:,1187,K200,STRASBOURG - BÂLE,,2,,,
FR:Line::2993074B-2B66-490B-B4C2-5593D87237FB:,1187,K16,Lyon Part Dieu - Chambery,,2,,,
FR:Line::2B0506BC-0CB9-4FFC-B90C-E202497AE4F0:,1187,P15,Montrejeau Gourdan Polignan - Luchon,,3,,,
FR:Line::2B08AD81-69B7-4063-BDF2-491582C465E0:,1187,P13,13. Angoulême-Bordeaux,,3,,,
FR:Line::2B19926F-67DD-442C-A4B7-5CD22C81B10C:,OCEdefault,P942,Troyes - Romilly,,3,,,
FR:Line::2B812B1E-D18B-4CC1-9659-39B3683EEEDD:,1187,P18,Dole- Pontarlier - Frasne- Vallorbe,,2,,,
FR:Line::2C079CBF-7595-43CE-832C-579C8E86D6E5:,1187,K31,Strasbourg - Nancy,,2,,,
FR:Line::2C66A825-8878-4243-93C2-4207D6DC4BCE:,1187,P44,44. Bordeaux-Agen,,3,,,
FR:Line::2C70F504-7C55-4F35-AD2A-F6BB2EAF8FFA:,1187,P70,Vendôme - Mondoubleau (Car),,3,,,
FR:Line::2D5DB166-E530-43D4-B662-BD31A8FDDE66:,1187,P87,Neussargues - Bort Les Orgues,,3,,,
FR:Line::2DABDC92-9157-469C-951A-FBFE8351C8A5:,1187,P14,Saint-Quentin - Compiègne,,2,,,
FR:Line::2DF95135-3422-4DBA-9B8B-B9D470AC18EC:,1187,C19,Lyon Saint-Paul - Sain Bel,,2,,,
FR:Line::2ED50A80-6E1F-4F0F-8782-4482CAA1A7DA:,1187,P43,Douai - Valenciennes,,2,,,
FR:Line::3093CF67-E390-48A9-89CB-70DDAAFB5057:,1187,P9,Beziers - St Chely D'Apcher,,2,,,
FR:Line::30ABAF83-5FC5-4A42-B12F-68A9EB63A9C4:,1187,P56,55. Pau-Bedous,,2,,,
FR:Line::30AF6125-C953-4343-96A7-A0E01616A18A:,1187,K23,Nantes - Noirmoutier,,3,,,
FR:Line::30F37992-42EC-43CC-8A26-59280550C603:,1187,P15,Paris Bercy - Clamecy,,2,,,
FR:Line::3175F4A9-2947-4E88-95A8-B0A98B88A418:,1187,K51,Lille Flandres - Don-Sainghin - Lens,,2,,,
FR:Line::31BA3470-2141-4D9A-8D86-B692204EE547:,1187,C10,Colmar - Mulhouse,,2,,,
FR:Line::31C14D7B-0326-431A-B8DC-341B53D22453:,1187,C3,Grasse - Cannes - Nice - Vintimille,,2,,,
FR:Line::323800B4-9274-423F-B8E2-9DFD1BC27DBC:,1187,P3,Ambérieu - Chambery,,2,,,
