from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_route_id,to_route_id
StopPoint:OCECar TER-87137448,StopPoint:OCECar TER-87137448,2,300,,
StopPoint:OCECar TER-87137455,StopPoint:OCECar TER-87137455,2,300,,
StopPoint:OCECar TER-87138321,StopPoint:OCECar TER-87138321,2,300,,
StopPoint:OCECar TER-87138339,StopPoint:OCECar TER-87138339,2,300,,
StopPoint:OCECar TER-87138362,StopPoint:OCECar TER-87138362,2,300,,
StopPoint:OCECar TER-87138883,StopPoint:OCECar TER-87138883,2,300,,
StopPoint:OCECar TER-87139527,StopPoint:OCECar TER-87139527,2,300,,
StopPoint:OCECar TER-87139535,StopPoint:OCECar TER-87139535,2,300,,
StopPoint:OCECar TER-87139550,StopPoint:OCECar TER-87139550,2,300,,
StopPoint:OCECar TER-87139568,StopPoint:OCECar TER-87139568,2,300,,
StopPoint:OCECar TER-87139584,StopPoint:OCECar TER-87139584,2,300,,
StopPoint:OCECar TER-87139659,StopPoint:OCECar TER-87139659,2,300,,
StopPoint:OCECar TER-87139667,StopPoint:OCECar TER-87139667,2,300,,
StopPoint:OCECar TER-87139733,StopPoint:OCECar TER-87139733,2,300,,
StopPoint:OCECar TER-87139774,StopPoint:OCECar TER-87139774,2,300,,
StopPoint:OCECar TER-87139824,StopPoint:OCECar TER-87139824,2,300,,
StopPoint:OCECar TER-87139857,StopPoint:OCECar TER-87139857,2,300,,
StopPoint:OCECar TER-87139865,StopPoint:OCECar TER-87139865,2,300,,
StopPoint:OCECar TER-87139873,StopPoint:OCECar TER-87139873,2,300,,
StopPoint:OCECar TER-87139899,StopPoint:OCECar TER-87139899,2,300,,
StopPoint:OCECar TER-87139907,StopPoint:OCECar TER-87139907,2,300,,
StopPoint:OCECar TER-87141002,StopPoint:OCECar TER-87141002,2,300,,
StopPoint:OCENavette-87141002,StopPoint:OCENavette-87141002,2,300,,
StopPoint:OCETrain TER-87141002,StopPoint:OCETrain TER-87141002,2,300,,
StopPoint:OCECar TER-87141010,StopPoint:OCECar TER-87141010,2,300,,
StopPoint:OCETrain TER-87141010,StopPoint:OCETrain TER-87141010,2,300,,
StopPoint:OCETrain TER-87141036,StopPoint:OCETrain TER-87141036,2,300,,
StopPoint:OCECar TER-87141044,StopPoint:OCECar TER-87141044,2,300,,
StopPoint:OCETrain TER-87141044,StopPoint:OCETrain TER-87141044,2,300,,
StopPoint:OCETrain TER-87141051,StopPoint:OCETrain TER-87141051,2,300,,
StopPoint:OCECar TER-87141069,StopPoint:OCECar TER-87141069,2,300,,
StopPoint:OCETrain TER-87141069,StopPoint:OCETrain TER-87141069,2,300,,
StopPoint:OCECar TER-87141077,StopPoint:OCECar TER-87141077,2,300,,
StopPoint:OCETrain TER-87141077,StopPoint:OCETrain TER-87141077,2,300,,
StopPoint:OCECar TER-87141085,StopPoint:OCECar TER-87141085,2,300,,
StopPoint:OCETrain TER-87141085,StopPoint:OCETrain TER-87141085,2,300,,
StopPoint:OCECar TER-87141093,StopPoint:OCECar TER-87141093,2,300,,
StopPoint:OCETrain TER-87141093,StopPoint:OCETrain TER-87141093,2,300,,
StopPoint:OCECar TER-87141101,StopPoint:OCECar TER-87141101,2,300,,
StopPoint:OCETrain TER-87141101,StopPoint:OCETrain TER-87141101,2,300,,
StopPoint:OCECar TER-87141119,StopPoint:OCECar TER-87141119,2,300,,
StopPoint:OCETrain TER-87141119,StopPoint:OCETrain TER-87141119,2,300,,
StopPoint:OCECar TER-87141127,StopPoint:OCECar TER-87141127,2,300,,
StopPoint:OCETrain TER-87141127,StopPoint:OCETrain TER-87141127,2,300,,
StopPoint:OCECar TER-87141135,StopPoint:OCECar TER-87141135,2,300,,
StopPoint:OCETrain TER-87141135,StopPoint:OCETrain TER-87141135,2,300,,
StopPoint:OCECar TER-87141143,StopPoint:OCECar TER-87141143,2,300,,
StopPoint:OCETrain TER-87141143,StopPoint:OCETrain TER-87141143,2,300,,
StopPoint:OCECar TER-87141150,StopPoint:OCECar TER-87141150,2,300,,
StopPoint:OCETrain TER-87141150,StopPoint:OCETrain TER-87141150,2,300,,
StopPoint:OCETrain TER-87141200,StopPoint:OCETrain TER-87141200,2,300,,
StopPoint:OCETrain TER-87141218,StopPoint:OCETrain TER-87141218,2,300,,
StopPoint:OCECar TER-87141259,StopPoint:OCECar TER-87141259,2,300,,
StopPoint:OCECar TER-87141291,StopPoint:OCECar TER-87141291,2,300,,
StopPoint:OCETrain TER-87141291,StopPoint:OCETrain TER-87141291,2,300,,
StopPoint:OCECar TER-87141374,StopPoint:OCECar TER-87141374,2,300,,
StopPoint:OCETrain TER-87141374,StopPoint:OCETrain TER-87141374,2,300,,
StopPoint:OCETrain TER-87141382,StopPoint:OCETrain TER-87141382,2,300,,
StopPoint:OCETrain TER-87141390,StopPoint:OCETrain TER-87141390,2,300,,
StopPoint:OCETrain TER-87141408,StopPoint:OCETrain TER-87141408,2,300,,
StopPoint:OCECar TER-87141416,StopPoint:OCECar TER-87141416,2,300,,
StopPoint:OCETrain TER-87141416,StopPoint:OCETrain TER-87141416,2,300,,
StopPoint:OCETrain TER-87141424,StopPoint:OCETrain TER-87141424,2,300,,
StopPoint:OCETrain TER-87141432,StopPoint:OCETrain TER-87141432,2,300,,
StopPoint:OCETrain TER-87141473,StopPoint:OCETrain TER-87141473,2,300,,
StopPoint:OCETrain TER-87141481,StopPoint:OCETrain TER-87141481,2,300,,
StopPoint:OCETrain TER-87141499,StopPoint:OCETrain TER-87141499,2,300,,
StopPoint:OCETrain TER-87141507,StopPoint:OCETrain TER-87141507,2,300,,
StopPoint:OCECar TER-87141523,StopPoint:OCECar TER-87141523,2,300,,
StopPoint:OCETrain TER-87141523,StopPoint:OCETrain TER-87141523,2,300,,
StopPoint:OCECar TER-87141721,StopPoint:OCECar TER-87141721,2,300,,
StopPoint:OCECar TER-87141739,StopPoint:OCECar TER-87141739,2,300,,
StopPoint:OCECar TER-87141754,StopPoint:OCECar TER-87141754,2,300,,
StopPoint:OCECar TER-87141788,StopPoint:OCECar TER-87141788,2,300,,
StopPoint:OCETrain TER-87141788,StopPoint:OCETrain TER-87141788,2,300,,
StopPoint:OCECar TER-87141796,StopPoint:OCECar TER-87141796,2,300,,
StopPoint:OCETrain TER-87141796,StopPoint:OCETrain TER-87141796,2,300,,
StopPoint:OCECar TER-87141804,StopPoint:OCECar TER-87141804,2,300,,
StopPoint:OCETrain TER-87141804,StopPoint:OCETrain TER-87141804,2,300,,
StopPoint:OCECar TER-87141812,StopPoint:OCECar TER-87141812,2,300,,
StopPoint:OCETrain TER-87141812,StopPoint:OCETrain TER-87141812,2,300,,
StopPoint:OCECar TER-87141820,StopPoint:OCECar TER-87141820,2,300,,
StopPoint:OCETrain TER-87141820,StopPoint:OCETrain TER-87141820,2,300,,
StopPoint:OCECar TER-87142000,StopPoint:OCECar TER-87142000,2,300,,
StopPoint:OCETrain TER-87142000,StopPoint:OCETrain TER-87142000,2,300,,
StopPoint:OCECar TER-87142042,StopPoint:OCECar TER-87142042,2,300,,
StopPoint:OCECar TER-87142091,StopPoint:OCECar TER-87142091,2,300,,
StopPoint:OCETrain TER-87142091,StopPoint:OCETrain TER-87142091,2,300,,
StopPoint:OCENavette-87142109,StopPoint:OCENavette-87142109,2,300,,
StopPoint:OCECar TER-87142125,StopPoint:OCECar TER-87142125,2,300,,
StopPoint:OCETrain TER-87142125,StopPoint:OCETrain TER-87142125,2,300,,
StopPoint:OCETrain TER-87142224,StopPoint:OCETrain TER-87142224,2,300,,
StopPoint:OCETrain TER-87142232,StopPoint:OCETrain TER-87142232,2,300,,
StopPoint:OCECar TER-87142240,StopPoint:OCECar TER-87142240,2,300,,
StopPoint:OCETrain TER-87142240,StopPoint:OCETrain TER-87142240,2,300,,
StopPoint:OCECar TER-87142273,StopPoint:OCECar TER-87142273,2,300,,
StopPoint:OCETrain TER-87142273,StopPoint:OCETrain TER-87142273,2,300,,
StopPoint:OCECar TER-87143024,StopPoint:OCECar TER-87143024,2,300,,
StopPoint:OCECar TER-87144006,StopPoint:OCECar TER-87144006,2,300,,
StopPoint:OCETrain TER-87144006,StopPoint:OCETrain TER-87144006,2,300,,
StopPoint:OCECar TER-87144014,StopPoint:OCECar TER-87144014,2,300,,
StopPoint:OCETrain TER-87144014,StopPoint:OCETrain TER-87144014,2,300,,
StopPoint:OCECar TER-87144030,StopPoint:OCECar TER-87144030,2,300,,
StopPoint:OCECar TER-87144055,StopPoint:OCECar TER-87144055,2,300,,
StopPoint:OCETrain TER-87144055,StopPoint:OCETrain TER-87144055,2,300,,
StopPoint:OCECar TER-87144063,StopPoint:OCECar TER-87144063,2,300,,
StopPoint:OCETrain TER-87144063,StopPoint:OCETrain TER-87144063,2,300,,
StopPoint:OCECar TER-87144071,StopPoint:OCECar TER-87144071,2,300,,
StopPoint:OCETrain TER-87144071,StopPoint:OCETrain TER-87144071,2,300,,
StopPoint:OCETrain TER-87144089,StopPoint:OCETrain TER-87144089,2,300,,
StopPoint:OCECar TER-87144097,StopPoint:OCECar TER-87144097,2,300,,
StopPoint:OCETrain TER-87144097,StopPoint:OCETrain TER-87144097,2,300,,
StopPoint:OCETrain TER-87144121,StopPoint:OCETrain TER-87144121,2,300,,
StopPoint:OCETrain TER-87144147,StopPoint:OCETrain TER-87144147,2,300,,
StopPoint:OCECar TER-87144154,StopPoint:OCECar TER-87144154,2,300,,
StopPoint:OCETrain TER-87144154,StopPoint:OCETrain TER-87144154,2,300,,
StopPoint:OCECar TER-87144212,StopPoint:OCECar TER-87144212,2,300,,
StopPoint:OCECar TER-87144279,StopPoint:OCECar TER-87144279,2,300,,
StopPoint:OCETrain TER-87144279,StopPoint:OCETrain TER-87144279,2,300,,
StopPoint:OCECar TER-87144287,StopPoint:OCECar TER-87144287,2,300,,
StopPoint:OCETrain TER-87144287,StopPoint:OCETrain TER-87144287,2,300,,
StopPoint:OCECar TER-87144295,StopPoint:OCECar TER-87144295,2,300,,
StopPoint:OCECar TER-87144303,StopPoint:OCECar TER-87144303,2,300,,
StopPoint:OCECar TER-87144311,StopPoint:OCECar TER-87144311,2,300,,
