stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
StopArea:OCE87594002,"Gare de Brive-la-Gaillarde",,45.15256243,1.52862252,,,1,
StopArea:OCE87713040,"Gare de Dijon-Ville",,47.32340388,5.02727989,,,1,
StopArea:OCE87713545,"Gare de Beaune",,47.0230407,4.8487235,,,1,
StopArea:OCE87725002,"Gare de Chalon-sur-Saône",,46.7815704,4.84348859,,,1,
StopArea:OCE87725689,"Gare de Mâcon-Ville",,46.30265933,4.82514854,,,1,
StopArea:OCE87723197,"Gare de Lyon-Part-Dieu",,45.7605853,4.85943505,,,1,
StopArea:OCE87747006,"Gare de Grenoble",,45.1914627,5.71452957,,,1,
StopArea:OCE87214056,"Gare de Sélestat",,48.25963804,7.44210277,,,1,
StopArea:OCE87214213,"Gare de Dambach-la-Ville",,48.32118401,7.43550036,,,1,
StopArea:OCE87214221,"Gare de Epfig",,48.3635965,7.45038324,,,1,
StopArea:OCE87214247,"Gare de Barr",,48.40304575,7.45690837,,,1,
StopArea:OCE87214254,"Gare de Gertwiller",,48.41329473,7.46591086,,,1,
StopArea:OCE87214270,"Gare de Goxwiller",,48.43259466,7.47870451,,,1,
StopArea:OCE87660910,"Obernai-Passage-Niveau.",,48.46084981,7.48941187,,,1,
StopArea:OCE87214296,"Gare de Bischoffsheim",,48.48677958,7.49805765,,,1,
StopArea:OCE87214320,"Gare de Rosheim",,48.5049682,7.49127548,,,1,
StopArea:OCE87214338,"Gare de Dorlisheim",,48.52428849,7.49281928,,,1,
StopArea:OCE87214577,"Gare de Molsheim",,48.53752463,7.50020612,,,1,
StopArea:OCE87214528,"Gare de Entzheim-Aéroport",,48.54700235,7.62795019,,,1,
StopArea:OCE87214122,"Gare de Benfeld",,48.37379613,7.58437438,,,1,
StopArea:OCE87214148,"Gare de Erstein",,48.42286882,7.63813392,,,1,
StopArea:OCE87212266,"Gare de Fegersheim-Lipsheim",,48.4909433,7.67255611,,,1,
StopArea:OCE87212027,"Gare de Strasbourg",,48.5851719,7.73396834,,,1,
StopArea:OCE87212191,"Gare de Strasbourg-Roethig",,48.56314536,7.69364841,,,1,
StopArea:OCE87214502,"Gare de Lingolsheim",,48.55943842,7.67859382,,,1,
StopArea:OCE87214536,"Gare de Duppigheim",,48.54406688,7.58709434,,,1,
StopArea:OCE87214544,"Gare de Duttlenheim-Ernolsheim-",,48.54560316,7.56564716,,,1,
StopArea:OCE87660936,"Eichhoffen-Gare.",,48.38269008,7.44888272,,,1,
StopArea:OCE87214205,"Gare de Scherwiller",,48.28658436,7.43053977,,,1,
StopArea:OCE87678847,"Geispolsheim Cts Gare",,48.5196,7.68404732,,,1,
StopArea:OCE87212274,"Gare de Limersheim",,48.4611139,7.65967099,,,1,
StopArea:OCE87678854,"Matzenheim Rue Gare/Éch",,48.39876586,7.62004657,,,1,
StopArea:OCE87214114,"Gare de Kogenheim",,48.33875253,7.53462433,,,1,
StopArea:OCE87214106,"Gare de Ebersheim",,48.30880838,7.49268394,,,1,
StopArea:OCE87192666,"Gare de Conflans-Jarny",,49.16638033,5.86824371,,,1,
StopArea:OCE87191692,"Gare de Homécourt",,49.21835785,5.99951508,,,1,
StopArea:OCE87191700,"Gare de Joeuf",,49.22507993,6.01791463,,,1,
StopArea:OCE87191718,"Gare de Moyeuvre-Grande",,49.24701225,6.0431974,,,1,
StopArea:OCE87191734,"Gare de Rombas-Clouange",,49.25604306,6.09925349,,,1,
StopArea:OCE87191114,"Gare de Hagondange",,49.25381177,6.16440238,,,1,
StopArea:OCE87175778,"Gare de Verdun",,49.16542273,5.38006589,,,1,
StopArea:OCE87175794,"Gare de Etain",,49.20770691,5.63948151,,,1,
