service_id,date,exception_type
11869,20200830,2
11869,20200905,2
11869,20200906,2
11870,20200831,1
11870,20200907,1
11870,20200914,1
11871,20200713,2
11871,20200714,2
11871,20200901,2
11871,20200902,2
11871,20200903,2
11871,20200904,2
11871,20200908,2
11871,20200909,2
11871,20200910,2
11871,20200911,2
543,20200616,1
543,20200617,1
543,20200618,1
543,20200619,1
543,20200622,1
543,20200623,1
543,20200624,1
543,20200625,1
543,20200626,1
543,20200713,2
543,20200714,2
11872,20200901,2
11872,20200902,2
11872,20200903,2
11872,20200904,2
11872,20200908,2
11872,20200909,2
11872,20200910,2
11872,20200911,2
11873,20200713,2
11873,20200714,2
11873,20200901,2
11873,20200902,2
11873,20200903,2
11873,20200904,2
11873,20200908,2
11873,20200909,2
11873,20200910,2
11873,20200911,2
11874,20200623,1
11874,20200624,1
11874,20200625,1
11874,20200626,1
11874,20200831,1
11874,20200907,1
11874,20200616,1
11874,20200617,1
11874,20200618,1
11874,20200619,1
11874,20200914,1
11875,20200620,1
11875,20200621,1
11875,20200706,1
11875,20200707,1
11875,20200708,1
11875,20200709,1
11875,20200710,1
11875,20200727,1
11875,20200728,1
11875,20200729,1
11875,20200730,1
11875,20200731,1
11875,20200824,1
11875,20200825,1
11875,20200826,1
11875,20200827,1
11875,20200828,1
11875,20200629,1
11875,20200630,1
11875,20200701,1
11875,20200702,1
11875,20200703,1
11875,20200704,1
11875,20200705,1
11875,20200715,1
11875,20200716,1
11875,20200717,1
11875,20200718,1
11875,20200719,1
11875,20200720,1
11875,20200721,1
11875,20200722,1
11875,20200723,1
11875,20200724,1
11875,20200725,1
11875,20200726,1
11875,20200803,1
11875,20200804,1
11875,20200805,1
11875,20200806,1
11875,20200807,1
11875,20200808,1
11875,20200809,1
11875,20200810,1
11875,20200811,1
11875,20200812,1
11875,20200813,1
11875,20200814,1
11875,20200816,1
11875,20200817,1
11875,20200818,1
11875,20200819,1
11875,20200820,1
11875,20200821,1
11875,20200823,1
11875,20200831,1
11875,20200907,1
11875,20200914,1
11875,20200713,2
11875,20200714,2
11876,20200801,1
11876,20200829,1
6281,20200628,1
11879,20200628,1
11881,20200715,1
11881,20200716,1
11881,20200616,1
11881,20200617,1
11881,20200618,1
11881,20200619,1
11881,20200622,1
11881,20200623,1
11881,20200624,1
11881,20200625,1
11881,20200626,1
11881,20200703,1
11881,20200706,1
11881,20200707,1
11881,20200708,1
11881,20200709,1
11881,20200710,1
11881,20200629,2
11881,20200630,2
11881,20200701,2
11881,20200702,2
11881,20200727,2
11881,20200728,2
11881,20200729,2
11881,20200730,2
11881,20200824,2
11881,20200825,2
11881,20200826,2
11881,20200827,2
11882,20200629,1
11882,20200630,1
11882,20200701,1
11882,20200702,1
11882,20200727,1
11882,20200728,1
11882,20200729,1
11882,20200730,1
11882,20200824,1
11882,20200825,1
11882,20200826,1
11882,20200827,1
11883,20200713,2
11883,20200714,2
11883,20200710,2
11884,20200705,1
11884,20200721,2
11886,20200704,1
11886,20200705,1
11886,20200719,1
11886,20200726,1
11886,20200620,1
11886,20200621,1
11889,20200627,2
11889,20200711,2
11889,20200801,2
11890,20200714,1
11890,20200705,1
11890,20200621,1
11892,20200704,1
11892,20200620,1
11892,20200621,1
11896,20200801,1
11896,20200627,1
11896,20200829,1
11897,20200801,1
11897,20200829,1
11898,20200727,1
11898,20200728,1
11898,20200729,1
11898,20200730,1
11898,20200731,1
11898,20200824,1
11898,20200825,1
11898,20200826,1
11898,20200827,1
11898,20200828,1
11900,20200704,1
11900,20200705,1
11900,20200718,1
11900,20200620,1
11900,20200621,1
11900,20200725,1
11901,20200801,2
11903,20200829,1
11903,20200801,1
11903,20200905,1
11904,20200829,2
11905,20200829,1
3230,20200713,2
3230,20200714,2
11906,20200801,1
11907,20200801,1
11907,20200627,1
11907,20200829,1
11908,20200727,1
11908,20200728,1
11908,20200729,1
11908,20200730,1
11908,20200731,1
11908,20200824,1
11908,20200825,1
11908,20200826,1
11908,20200827,1
11908,20200828,1
104,20200628,1
11909,20200710,1
11910,20200830,1
11910,20200802,1
11911,20200830,1
11911,20200802,1
11912,20200713,2
11912,20200714,2
11912,20200727,2
11912,20200728,2
11912,20200729,2
11912,20200730,2
11912,20200731,2
11914,20200809,2
11915,20200801,1
11915,20200829,1
5922,20200713,2
5922,20200714,2
5922,20200629,2
5922,20200630,2
5922,20200701,2
5922,20200702,2
11919,20200713,2
11919,20200714,2
11919,20200901,2
11919,20200902,2
11919,20200903,2
11919,20200904,2
11919,20200908,2
11919,20200909,2
11919,20200910,2
11919,20200911,2
5114,20200705,1
5114,20200721,2
11921,20200829,1
11921,20200801,1
11921,20200905,1
11922,20200830,1
11922,20200802,1
6236,20200809,1
11923,20200713,2
11923,20200714,2
11924,20200713,2
11924,20200714,2
11924,20200901,2
11924,20200902,2
11924,20200903,2
11924,20200904,2
11924,20200908,2
11924,20200909,2
11924,20200910,2
11924,20200911,2
11925,20200831,1
11925,20200907,1
11925,20200622,1
11925,20200623,1
11925,20200624,1
11925,20200625,1
11925,20200626,1
11925,20200629,1
